RANK,ID,CitationCount,CiteScore,SJR
2,18391,2250,6.39,3.796
24,18391,2250,6.39,3.796
4,18988,568,6.38,2.621
20,18988,568,6.38,2.621
2,21100349533,351,6.38,1.986
9,21100349533,351,6.38,1.986
23,21100349533,351,6.38,1.986
3,21100349533,351,6.38,1.986
13,20151,484,6.37,4.622
19,20151,484,6.37,4.622
5,28980,968,6.37,6.807
14,11400153331,2342,6.36,4.368
20,11400153331,2342,6.36,4.368
6,19669,2271,6.36,4.161
4,19669,2271,6.36,4.161
8,19669,2271,6.36,4.161
6,24385,769,6.36,3.997
6,24385,769,6.36,3.997
4,24385,769,6.36,3.997
12,18232,800,6.35,3.338
7,18232,800,6.35,3.338
5,25472,699,6.35,2.409
